index,home_team,away_team,id,market,competition_name,prediction,competition_cluster,status,federation,is_expired,season,result,start_date,last_update_at,odds
110,Kilmarnock,Hibernian,40218,classic,Premiership,12,Scotland,won,UEFA,TRUE,2018 - 2019,3 - 0,2018-12-01T15:00:00,2018-12-01T09:16:17.282000,"{'1': 2.693, 'X': 3.197, '2': 2.583, '1X': 1.48, 'X2': 1.447, '12': 1.318}"
111,FC Orenburg,Krylya Sovetov Samara,40216,classic,Premier League,1X,Russia,postponed,UEFA,TRUE,2018 - 2019,postp,2018-12-01T13:30:00,2018-12-01T09:16:17.282000,"{'1': 2.145, 'X': 2.918, '2': 3.727, '1X': 1.255, 'X2': 1.652, '12': 1.36}"
112,Teramo,Renate,40121,classic,Serie C,1X,Italy,won,UEFA,TRUE,2018 - 2019,02-Feb,2018-12-01T13:30:00,2018-12-01T09:16:17.282000,"{'1': 2.053, 'X': 2.985, '2': 3.568, '1X': 1.248, 'X2': 1.663, '12': 1.32}"
113,MSK Zilina,DAC Dunajska Streda,40245,classic,Superliga,1X,Slovakia,won,UEFA,TRUE,2018 - 2019,02-Feb,2018-12-01T14:30:00,2018-12-01T09:16:17.282000,"{'1': 2.317, 'X': 3.34, '2': 2.673, '1X': 1.405, 'X2': 1.533, '12': 1.262}"
114,Borussia Dortmund,Freiburg,40096,classic,Bundesliga,1,Germany,won,UEFA,TRUE,2018 - 2019,2 - 0,2018-12-01T14:30:00,2018-12-01T09:16:17.282000,"{'1': 1.337, 'X': 5.137, '2': 8.896, '1X': 1.064, 'X2': 3.247, '12': 1.14}"
115,Clyde,Berwick Rangers,40231,classic,League Two,1,Scotland,lost,UEFA,TRUE,2018 - 2019,03-Mar,2018-12-01T15:00:00,2018-12-01T09:16:17.282000,"{'1': 1.272, 'X': 5.28, '2': 8.682, '1X': 1.043, 'X2': 3.307, '12': 1.12}"
116,Hannover,Hertha Berlin,40097,classic,Bundesliga,12,Germany,won,UEFA,TRUE,2018 - 2019,0 - 2,2018-12-01T14:30:00,2018-12-01T09:16:17.282000,"{'1': 2.641, 'X': 3.42, '2': 2.599, '1X': 1.489, 'X2': 1.474, '12': 1.293}"
117,Maccabi Haifa,Hapoel Haifa,40180,classic,Premier League,1,Israel,lost,UEFA,TRUE,2018 - 2019,01-Mar,2018-12-01T19:00:00,2018-12-01T09:16:17.282000,"{'1': 1.774, 'X': 3.234, '2': 4.232, '1X': 1.186, 'X2': 1.892, '12': 1.276}"
118,Bnei Yehuda,Bnei Sakhnin,40177,classic,Premier League,1,Israel,lost,UEFA,TRUE,2018 - 2019,0 - 1,2018-12-01T14:00:00,2018-12-01T09:16:17.282000,"{'1': 1.724, 'X': 3.256, '2': 4.502, '1X': 1.168, 'X2': 1.954, '12': 1.27}"
119,Dunfermline Athletic,Greenock Morton,40222,classic,Championship,1,Scotland,won,UEFA,TRUE,2018 - 2019,3 - 0,2018-12-01T15:00:00,2018-12-01T09:16:17.282000,"{'1': 1.68, 'X': 3.657, '2': 4.552, '1X': 1.167, 'X2': 2.077, '12': 1.222}"
120,Giana Erminio,FeralpiSalo,40118,classic,Serie C,12,Italy,won,UEFA,TRUE,2018 - 2019,02-Apr,2018-12-01T13:30:00,2018-12-01T09:16:17.282000,"{'1': 2.465, 'X': 2.873, '2': 2.86, '1X': 1.358, 'X2': 1.467, '12': 1.35}"
121,Espanyol B,Ebro,40137,classic,Segunda Division B Group 3,1X,Spain,won,UEFA,TRUE,2018 - 2019,0 - 0,2018-12-01T15:00:00,2018-12-01T09:16:17.282000,"{'1': 1.92, 'X': 3.09, '2': 3.797, '1X': 1.212, 'X2': 1.722, '12': 1.295}"
